SERVICE,LIMIT,SCOPE,MAX,USED,USED%
identity,free-domains-count,GLOBAL,10,1,10.0%
identity,policies-count,GLOBAL,100,47,47.0%
identity,policy-statements-per-compartment-hierarchy,PER_COMPARTMENT_HIERARCHY,500,220,44.0%
identity,statements-count,PER_POLICY,50,25,50.0%
vcn,dhcp-option-count,PER_VCN,300,1,0.3%
vcn,drg-count,REGION,5,2,40.0%
vcn,flow-log-config-count,GLOBAL,100,1,1.0%
vcn,internet-gateway-count,PER_VCN,1,1,100.0%
vcn,nat-gateway-count,PER_VCN,1,1,100.0%
vcn,networksecuritygroups-count,PER_VCN,"1,000",1,0.1%
vcn,reserved-public-ip-count,REGION,50,2,4.0%
vcn,route-table-count,PER_VCN,300,5,1.7%
vcn,security-list-count,PER_VCN,300,6,2.0%
vcn,securityrules-per-networksecuritygroup-count,PER_NSG,120,2,1.7%
vcn,subnet-count,PER_VCN,300,5,1.7%
vcn,vcn-count,REGION,50,7,14.0%
load-balancer,backend-sets-per-lb-count,PER_LB,16,1,6.2%
load-balancer,lb-100mbps-count,REGION,300,3,1.0%
load-balancer,listeners-per-lb-count,PER_LB,16,1,6.2%
faas,application-count,REGION,20,1,5.0%
faas,function-count,REGION,500,1,0.2%
compute,custom-image-count,REGION,500,10,2.0%
compute,dense-io-e4-core-count,ZyrR:US-ASHBURN-AD-1,"2,000",8,0.4%
compute,dense-io-e4-memory-count,ZyrR:US-ASHBURN-AD-1,"32,000",128,0.4%
compute,standard-e4-core-count,ZyrR:US-ASHBURN-AD-1,"2,000",19,0.9%
compute,standard-e4-memory-count,ZyrR:US-ASHBURN-AD-1,"32,000",195,0.6%
compute,standard-e5-core-count,ZyrR:US-ASHBURN-AD-1,"2,000",23,1.1%
compute,standard-e5-core-count,ZyrR:US-ASHBURN-AD-2,"2,000",1,0.1%
compute,standard-e5-core-count,ZyrR:US-ASHBURN-AD-3,"2,000",3,0.1%
compute,standard-e5-memory-count,ZyrR:US-ASHBURN-AD-1,"24,000",316,1.3%
compute,standard-e5-memory-count,ZyrR:US-ASHBURN-AD-2,"24,000",16,0.1%
compute,standard-e5-memory-count,ZyrR:US-ASHBURN-AD-3,"24,000",44,0.2%
compute,standard1-core-count-reservable,ZyrR:US-ASHBURN-AD-1,"2,000",1,0.1%
